t,x,err,fOut,fIn,fSet,y,errAbs,fI,deltaF,norm,kP,kI,kD,largo,vel
2782285.000000,0.000000,4896.532218,115.705184,3.467782,4900.000000,0.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2782379.000000,0.000000,4899.903673,115.705184,0.096327,4900.000000,241.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2782472.000000,0.000000,4898.844073,115.705184,1.155927,4900.000000,491.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2782566.000000,0.000000,4892.101162,115.705184,7.898838,4900.000000,740.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2782659.000000,0.000000,4891.812181,115.705184,8.187819,4900.000000,989.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2782753.000000,0.000000,4894.990981,115.705184,5.009019,4900.000000,1238.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2782846.000000,0.000000,4893.642399,115.705184,6.357601,4900.000000,1487.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2782940.000000,0.000000,4898.940400,115.705184,1.059600,4900.000000,1736.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2783033.000000,0.000000,4898.266109,115.705184,1.733891,4900.000000,1985.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2783127.000000,0.000000,4896.146909,115.705184,3.853091,4900.000000,2234.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2783220.000000,0.000000,4899.711018,115.705184,0.288982,4900.000000,2483.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2783313.000000,0.000000,4903.467782,115.705184,-3.467782,4900.000000,2732.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2783407.000000,0.000000,4905.201674,115.705184,-5.201674,4900.000000,2981.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2783500.000000,0.000000,4897.399163,115.705184,2.600837,4900.000000,3231.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2783594.000000,0.000000,4895.568945,115.705184,4.431055,4900.000000,3480.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2783687.000000,0.000000,4896.339563,115.705184,3.660437,4900.000000,3729.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2783781.000000,0.000000,4900.866946,115.705184,-0.866946,4900.000000,3978.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2783874.000000,0.000000,4899.133054,115.705184,0.866946,4900.000000,4227.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2783968.000000,0.000000,4897.688145,115.705184,2.311855,4900.000000,4476.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2784061.000000,0.000000,4901.926546,115.705184,-1.926546,4900.000000,4725.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2784154.000000,0.000000,4897.302836,115.705184,2.697164,4900.000000,4974.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2784248.000000,0.000000,4892.679126,115.705184,7.320874,4900.000000,5223.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2784341.000000,0.000000,4898.169782,115.705184,1.830218,4900.000000,5472.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2784435.000000,0.000000,4901.541237,115.705184,-1.541237,4900.000000,5722.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2784528.000000,0.000000,4899.422036,115.705184,0.577964,4900.000000,5971.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2784622.000000,0.000000,4894.701999,115.705184,5.298001,4900.000000,6220.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2784715.000000,0.000000,4894.413017,115.705184,5.586983,4900.000000,6469.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2784809.000000,0.000000,4897.784472,115.705184,2.215528,4900.000000,6718.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2784902.000000,0.000000,4899.711018,115.705184,0.288982,4900.000000,6967.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2784995.000000,0.000000,4896.146909,115.705184,3.853091,4900.000000,7216.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2785089.000000,0.000000,4894.990981,115.705184,5.009019,4900.000000,7465.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2785182.000000,0.000000,4893.449744,115.705184,6.550256,4900.000000,7714.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2785276.000000,0.000000,4894.124035,115.705184,5.875965,4900.000000,7963.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2785369.000000,0.000000,4900.963273,115.705184,-0.963273,4900.000000,8213.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2785463.000000,0.000000,4903.853091,115.705184,-3.853091,4900.000000,8462.000000,0.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2785650.000000,0.000000,3710.646973,115.705184,1189.353027,4900.000000,12897.000000,371.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2785743.000000,0.000000,2281.438965,115.705184,2618.561035,4900.000000,12959.000000,599.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2785836.000000,0.000000,1474.216309,115.705184,3425.783691,4900.000000,13022.000000,746.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2785930.000000,0.000000,1108.461670,115.705184,3791.538330,4900.000000,13084.000000,856.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2786024.000000,195.000000,356.049316,158.448905,4543.950684,4900.000000,13159.000000,35.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2786118.000000,394.000000,122.346680,130.410706,4854.798828,4977.145508,13174.000000,47.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2786211.000000,594.000000,236.308105,144.097892,4819.157715,5055.465820,13187.000000,70.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2786305.000000,793.000000,350.840820,157.859360,4782.553711,5133.394531,13200.000000,105.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2786398.000000,992.000000,361.726074,159.183677,4849.597168,5211.323242,13214.000000,141.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2786492.000000,1192.000000,370.594238,160.266386,4919.049316,5289.643555,13229.000000,178.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2786585.000000,1391.000000,371.172363,160.354320,4996.399902,5367.572266,13244.000000,215.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2786679.000000,1590.000000,348.920410,157.701531,5096.580566,5445.500977,13259.000000,249.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2786772.000000,1790.000000,344.495605,157.187780,5179.325684,5523.821289,13273.000000,283.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2786865.000000,1989.000000,394.007812,163.148945,5207.742188,5601.750000,13288.000000,322.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2786959.000000,2188.000000,447.662109,169.609844,5232.016602,5679.678711,13303.000000,366.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2787052.000000,2387.000000,454.597656,170.464839,5303.009766,5757.607422,13319.000000,411.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2787146.000000,2587.000000,451.713867,170.141370,5384.213867,5835.927734,13335.000000,456.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2787239.000000,2786.000000,443.622559,169.192594,5470.233887,5913.856445,13350.000000,500.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2787333.000000,2985.000000,444.778320,169.353525,5547.006836,5991.785156,13366.000000,544.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2787426.000000,3185.000000,430.335449,167.641897,5639.770020,6070.105469,13382.000000,587.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2787519.000000,3384.000000,426.482422,167.200858,5721.551758,6148.034180,13398.000000,629.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2787613.000000,3583.000000,429.949707,167.638429,5796.013184,6225.962891,13414.000000,671.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2787706.000000,3783.000000,435.928223,168.377648,5868.354980,6304.283203,13429.000000,714.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2787800.000000,3982.000000,439.974121,168.885154,5942.237793,6382.211914,13445.000000,757.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2787893.000000,4181.000000,441.997070,169.150008,6018.143555,6460.140625,13461.000000,801.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2787987.000000,4381.000000,453.562500,170.560538,6084.898438,6538.460938,13477.000000,846.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2788080.000000,4580.000000,469.937988,172.549093,6146.451660,6616.389648,13493.000000,892.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2788173.000000,4779.000000,478.703613,173.624903,6215.614746,6694.318359,13509.000000,939.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2788267.000000,4978.000000,481.882324,174.030443,6290.364746,6772.247070,13525.000000,987.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2788360.000000,5178.000000,485.163574,174.448451,6365.403809,6850.567383,13541.000000,1035.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2788454.000000,5377.000000,479.769531,173.825154,6448.726562,6928.496094,13557.000000,1082.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2788547.000000,5576.000000,478.908691,173.745799,6527.907715,7006.816406,13574.000000,1129.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2788641.000000,5776.000000,472.647461,173.018084,6612.097656,7084.745117,13590.000000,1176.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2788734.000000,5975.000000,465.037598,172.128152,6697.636230,7162.673828,13606.000000,1222.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
2788828.000000,6174.000000,466.289551,172.301701,6774.312988,7240.602539,13622.000000,1268.000000,5.000000,40.000000,1.000000,0.120000,0.001000,0.000000,4.000000,5.000000
